Investment ID,Business Case ID
005-000001723,212
005-000001822,213
005-000000038,214
005-000000093,215
005-000001231,219
005-000001232,220
005-000001234,221
005-000000065,224
005-000001870,225
005-000001729,226
005-000001425,227
005-000001718,228
005-000001496,229
005-000000083,230
005-000002148,231
005-999991841,234
005-000002328,235
005-000000039,236
005-000000047,237
005-000002152,238
005-000001659,239
005-000002223,242
005-000002321,243
005-000000064,246
005-000000067,247
005-000001430,248
005-000000063,249
005-000000028,250
005-000000027,251
005-000002224,252
005-000000018,253
005-000001742,254
005-000000054,271
005-000002276,369
005-000000073,393
005-000000098,394
005-000002317,832
005-000002340,841
005-000002376,1099
006-000525200,629
006-000400100,648
006-000400900,678
006-000401000,680
006-000003213,694
006-000321500,695
006-000321100,696
006-000321200,697
006-000321600,698
006-000003202,699
006-000310100,701
006-000311000,702
006-000310400,703
006-000311200,706
006-000312500,707
006-000310200,708
006-000312400,709
006-000380400,711
006-000400700,715
006-000400800,716
006-000401100,717
006-000051000,721
006-000400300,724
006-000051100,725
006-000050200,726
006-000320100,727
006-000320500,770
006-000310600,776
006-000310300,777
006-000731200,782
006-000351100,925
006-999994060,926
006-000803100,927
006-000801100,928
006-000803200,929
006-000803400,930
006-000401400,931
006-000401700,933
006-000552000,1080
006-000051500,1081
006-000656500,1082
006-999990530,1135
007-000000049,13
007-000000155,14
007-000000178,15
007-000000186,16
007-000000057,17
007-000000192,18
007-000000314,19
007-000000342,20
007-000000483,22
007-000000510,25
007-000000594,26
007-000000595,27
007-000000613,28
007-000000880,30
007-000000881,31
007-000000884,33
007-000001046,34
007-000000882,48
007-000001911,50
007-000001913,51
007-000001794,52
007-000002180,53
007-000002213,54
007-000002166,55
007-000003146,56
007-000003538,57
007-000004035,58
007-000005070,59
007-000006046,60
007-000003855,61
007-000006189,63
007-000006190,64
007-000006170,65
007-000006191,66
007-000006312,69
007-000006298,71
007-000006491,73
007-000006368,74
007-000006388,75
007-000006524,77
007-000006555,78
007-000006965,80
007-000006587,82
007-000006946,83
007-000001854,86
007-000000599,899
007-000001005,900
007-000001009,901
007-000001202,902
007-000001208,903
007-000001242,904
007-000001555,905
007-000001017,906
007-000001078,909
007-000001104,910
007-000001152,911
007-000001179,912
007-000001184,913
007-000001550,914
007-000003947,915
007-000001042,917
007-000001243,918
007-000001248,919
007-000001791,921
007-000001099,922
007-000003945,923
007-000004122,924
007-000000688,1114
007-000001640,1115
007-000001667,1116
007-000005090,1118
007-000006040,1119
007-000006430,1120
007-000001372,1122
007-000001699,1123
007-000000573,1124
007-000001191,1126
009-000001422,184
009-000001462,186
009-000001386,257
009-000001384,260
009-000001372,261
009-000001378,262
009-000163785,263
009-000006796,273
009-000001465,274
009-000001468,275
009-000201062,276
009-000004417,277
009-000001472,279
009-000004611,281
009-000000714,284
009-000002454,285
009-000005234,287
009-000005345,298
009-000005318,299
009-000005354,301
009-000005315,302
009-000005317,310
009-000006267,317
009-000005316,318
009-000005323,322
009-999991400,330
009-000001397,332
009-000000706,333
009-000001362,336
009-000001408,337
009-000001405,339
009-000006338,340
009-000000833,341
009-000001410,342
009-000001413,343
009-000001479,345
009-000003888,346
009-000001482,349
009-000004062,350
009-000006779,354
009-000001361,355
009-000267389,961
009-000236620,991
009-000267388,1001
009-000001380,1086
009-000004093,1087
009-000005797,1088
009-000276109,1089
009-000281361,1090
009-000281532,1091
009-000281783,1094
009-000282322,1096
010-000000066,644
010-000000077,646
010-000000083,647
010-000000156,652
010-000000299,656
010-000000987,657
010-000001049,666
010-000001050,667
010-000000316,673
010-000000319,674
010-000000368,676
010-999990382,683
010-000000292,785
010-000000294,786
010-000000363,787
010-000001047,835
010-000000355,862
010-000000330,864
010-000000338,865
010-000000357,866
010-000000342,868
011-000001126,426
011-000003372,429
011-000002503,430
011-000003373,432
011-000003024,434
011-000002016,435
011-000002616,437
011-000003211,441
011-000003177,442
011-000002909,443
011-000002501,858
011-000002916,859
011-000003457,938
011-000002502,1052
011-000002705,1062
012-000003470,88
012-000003535,101
012-000001075,103
012-000001025,105
012-000002035,106
012-000002055,109
012-000002575,115
012-000003225,116
012-000003585,117
012-000002045,121
012-000001010,122
012-000002085,123
012-000001015,125
012-000000001,126
012-000002005,127
012-999990020,130
012-000002630,131
012-000002015,132
012-000002265,183
012-000001055,278
012-000005005,418
012-000005004,624
012-000005003,627
012-000005013,628
012-000005000,635
012-000005001,641
012-000003655,838
012-000003645,839
012-000003595,844
012-000003615,1047
012-000000007,1128
014-000000012,718
014-000000014,730
014-000000018,734
014-000000024,736
014-000000029,742
014-000000329,743
014-000000019,744
014-000000039,1130
014-000000026,1131
