Project ID,Planned Cost ($ M),Projected/Actual Cost ($ M)
2,6.25,3.674
3,29.35,29.35
4,4.29,4.39
5,14.56,14.56
6,18.677,18.677
7,25.844,25.844
8,16.0,16.0
9,16.0,16.0
10,6.358,5.202000000000001
11,20.185,20.185
12,25.893,25.893
13,10.619000000000002,10.547
14,0.9620000000000001,0.9620000000000001
15,0.254,0.254
16,0.369,0.369
17,1.295,1.295
18,7.96,9.36
19,4.7,6.209
20,0.742,0.742
21,1.4,1.4
22,1.95,2.0
23,0.873,0.8690000000000001
24,0.65,1.3219999999999998
25,1.33,1.31
26,5.6,5.6
27,0.8,0.8
28,1.8,1.8
29,5.0,5.0
30,20.0,20.0
31,1.2,1.2
32,0.77,0.3
33,2.58,2.35
34,15.76,15.76
35,96.45,53.36
36,162.8,164.30599999999995
37,10.5,10.5
38,5.4,5.449
39,1.5619999999999998,1.5619999999999998
40,2.294,2.294
41,1.755,1.755
42,4.5,4.726
43,21.553,20.489
44,15.788,15.788
47,17.76,17.76
50,0.882,0.845
51,0.342,0.381
52,1.98,1.98
53,5.2,5.2
54,2.0,2.0
55,7.308,7.231
56,5.575,5.58
57,11.788,10.732000000000001
60,0.564,0.608
61,0.938,0.985
62,0.773,0.773
63,0.43799999999999994,0.45399999999999996
64,0.552,0.606
65,0.237,0.252
66,0.5720000000000001,0.628
69,0.574,0.33299999999999996
70,0.32299999999999995,0.355
71,1.631924,1.037095
72,4.743254,3.4855739999999997
73,0.09435199999999999,0.09435199999999999
74,0.639683,0.5405760000000001
75,0.164943,0.075908
76,0.9,0.9
77,7.05,7.05
79,0.40700000000000003,0.40700000000000003
80,0.21608000000000002,0.21608000000000002
81,0.14856,0.14856
82,0.20776,0.20776
83,0.30504000000000003,0.30504000000000003
84,0.30848000000000003,0.30848000000000003
85,0.28918,0.28918
86,0.11,0.11
87,0.0924,0.0924
88,0.0725,0.0725
89,0.13,0.13
90,0.12,0.12
91,9.0,9.0
92,0.1607,0.1387
93,1.1425,1.1424
94,1.141,0.5734600000000001
95,0.0764,0.076442
96,0.0964,0.090523
97,0.1368,0.136739
98,1.0153,1.0153
99,0.7807,0.7807
100,0.05,0.05
101,6.402,6.402
103,0.211988,0.10308699999999996
105,0.0971,0.09499500000000001
106,0.08507,0.056219000000000005
109,0.013936000000000002,0.013936000000000002
110,0.006999999999999999,0.00626
111,0.9279999999999999,1.084819
112,1.8180900000000002,2.1687
113,0.111375,0.096169
114,0.062318,0.186416
115,7.0438,6.9718
116,0.12,0.12
117,0.005,0.005
118,0.66,0.8305610000000001
119,1.19,2.367468
120,1.04,1.053584
121,1.04,0.689707
122,0.02,0.07
123,0.02,0.05
124,0.03,0.06
125,0.03,0.06
126,1.0,1.8851360000000001
127,0.735,0.735
128,0.7559999999999999,0.7559999999999999
129,0.588,0.42727600000000004
130,0.606,0.405
131,0.064572,0.064572
132,0.180626,0.180626
133,0.1411,0.1411
134,0.260251,0.260251
135,0.15,0.14800000000000002
137,0.27,0.271
138,3.773342,3.7792449999999995
139,7.0073380000000025,7.0073380000000025
140,8.15,6.727
141,2.035,2.035
142,3.53,3.53
143,0.159,0.07
144,0.25,0.25
145,0.25,0.08900000000000001
146,0.2,0.2
147,3.153,8.335
148,0.12,0.556
149,6.57,6.763999999999999
150,18.0,20.8
151,1.338,1.338
152,0.317,0.317
153,6.8820000000000014,6.443
154,30.16800000000001,30.16800000000001
155,7.843,7.843
156,1.4,1.4
159,0.581,0.581
160,1.504,1.2819999999999998
161,3.2569999999999997,1.1159999999999999
162,2.356,1.442
163,2.464,2.464
164,4.562,3.576
165,0.836,0.836
166,1.75,1.751
167,1.864,2.16
168,1.38,1.1740000000000002
169,12.68,11.738
170,5.0,5.0
171,6.303,6.303
172,3.327,3.325
173,10.0,10.0
174,4.5,4.5
175,1.8,1.8
176,13.193270000000002,13.193201
177,2.984,2.686489
178,0.6,0.6
179,11.364,11.775
180,3.05,3.05
181,0.01,0.0098
182,0.01,0.009793000000000001
183,0.01,0.009908
184,0.01,0.01
185,0.025,0.02584
186,0.015,0.016493
187,0.6509999999999999,0.62643
188,60.776,64.618
189,7.74,7.5
190,33.853,34.083
191,19.5,19.5
192,0.9,0.604
193,0.9,0.55
194,0.9,0.9
195,0.1,0.1
196,0.2,0.2
197,0.075,0.066
198,0.075,0.042
199,0.075,0.026000000000000002
200,20.893,15.699000000000002
201,3.43,2.256
202,2.5,2.312
203,3.35,3.319
204,6.3,6.3
226,3.695,3.272
227,11.556,11.321564
228,10.282,10.282
229,48.562,45.729
230,45.358999999999995,40.293
231,22.2934,22.2934
232,4.084,4.084
233,0.55,0.5479999999999999
234,0.2,0.2
235,3.9,3.9
236,0.9,0.9451729999999999
237,0.469,0.580496
238,4.35,4.35
239,1.42,1.42
240,0.02,0.02
241,0.76,1.16
242,1.45,1.49
243,0.75,0.75
244,0.75,0.75
245,1.2,1.2
246,2.0,2.0
247,0.23399999999999999,0.23399999999999999
248,2.206,2.206
250,2.62,5.385
251,4.0,4.0
252,2.0,2.0
253,13.379000000000001,13.379000000000001
254,1.35,1.35
268,44.12332,41.029145
269,0.35,0.32
270,0.237,0.23600000000000002
271,0.85,0.846
272,1.31,1.2670000000000001
282,0.35200000000000004,0.30573
283,0.35200000000000004,0.3005
284,0.35200000000000004,0.3847
285,0.35200000000000004,0.36456
286,0.35200000000000004,0.35200000000000004
287,0.122,0.122
288,0.991,0.9915
289,1.286,0.877
290,22.342,22.354
291,1.6,1.6
292,0.313,0.155
293,0.40399999999999997,0.40399999999999997
294,1.7930000000000001,1.7930000000000001
295,0.902,0.902
296,0.028999999999999998,0.028999999999999998
297,0.179,0.179
298,1.186,1.186
299,2.571,2.7539999999999996
300,1.459,1.714
301,2.1590000000000003,2.1590000000000003
302,29.199,29.199
303,0.631,0.631
304,3.36,3.2460000000000004
305,1.419,1.4180000000000001
306,26.859,26.859
307,1.0,1.0
308,1.93,1.93
309,1.2,1.2
310,0.15,0.15
311,0.760537,0.731822
312,21.058000000000003,19.49
313,2.5,2.0
314,1.5,1.5
315,0.25,0.25
316,0.684,0.6
317,0.26,0.26
318,0.475,0.475
319,0.065,0.039
320,0.5,0.3
321,14.718,14.718
322,0.75,0.75
323,1.5,1.5
324,2.5,2.5
325,1.0,1.0
326,2.0,2.0
327,0.7040000000000001,0.7040000000000001
328,0.25,0.25
329,0.5,0.5
330,0.732,0.732
331,0.4920000000000001,0.4920000000000001
332,1.218,1.218
333,8.326,6.642
334,8.646,8.828
335,11.161,11.194
336,9.975,9.105
337,4.925,3.213
338,0.063,0.063
339,0.419,0.419
340,7.2,7.2
341,2.3,2.3
342,2.4,2.4
343,2.5,2.5
344,10.222999999999999,10.113
345,2.4,2.4
346,22.846,20.809
347,28.143,29.269000000000002
348,60.047,46.525
349,17.442,17.442
350,61.931999999999995,61.931999999999995
351,0.777,0.777
352,31.408,31.408
353,58.176,58.176
354,46.45,46.45
355,116.11399999999999,116.11399999999999
357,1.111,1.0203520000000001
358,0.8455440000000001,0.828965
359,1.1697309999999999,1.157462
360,0.156647,0.15348599999999998
361,0.07961,0.07961
362,0.0375,0.0375
363,0.3,0.3
364,0.1125,0.1125
365,1.0333299999999999,1.0333299999999999
366,11.258,11.258
367,6.768,6.8370000000000015
368,3.5860000000000003,3.154
369,3.773,3.438
370,0.204,0.204
371,2.448,2.448
372,3.69,3.69
373,1.32,1.32
374,0.621,0.621
375,2.3080000000000003,2.3080000000000003
376,2.99,2.99
377,5.374,5.374
378,11.767999999999999,11.186
379,6.4879999999999995,6.682
380,3.22,2.98
381,1.8,0.9159999999999999
382,7.508999999999999,6.729
383,3.094,3.222
384,0.645,1.314
386,4.578,4.578
387,7.018,7.018
388,0.5710000000000001,0.5710000000000001
389,0.013000000000000001,0.013000000000000001
390,0.033,0.033
391,0.031,0.031
392,0.008,0.008
393,0.237,0.237
394,0.503,0.503
395,7.05,7.05
410,56.478,43.861999999999995
411,22.7,22.7
412,3.41,3.41
413,1.5,1.5
414,5.0,5.0
415,2.5,2.5
416,1.92395,0.8715
417,0.42,0.42
418,1.0270000000000001,1.128
419,3.353,3.261
420,0.242,0.13397799999999999
421,8.0,7.5
422,28.088265999999997,25.925296
423,2.2,2.1804799999999998
424,12.215,14.594000000000001
425,5.0,4.07
426,0.5,0.5
427,2.5,2.5069999999999997
428,3.0,3.108
429,22.376197,22.269866
430,0.105,0.105
431,1.353684,1.353684
432,2.37,2.37
433,0.096,0.095161
434,1.5390000000000001,1.5571620000000002
435,4.685,4.683
436,2.387,2.2695
437,1.274,1.315375
438,10.96,10.96
439,0.25,0.275
440,0.287,0.299
441,198.60103999999998,232.548
442,5.0,5.0
443,10.0,10.0
444,5.860488,5.973587
445,7.148947,7.621442
446,4.40426,4.40426
447,2.293971,2.293971
448,2.12438,2.12438
449,16.928,15.659
450,4.157,4.302
451,4.104,2.8789999999999996
452,0.74,0.74
453,0.7909999999999999,0.7909999999999999
454,0.873,0.875
455,0.34700000000000003,0.327
456,0.491,0.418
457,5.48,4.626
458,0.47600000000000003,0.46399999999999997
459,1.249,0.725
460,4.314,4.383
461,3.1356439999999997,3.137219
462,5.703087,6.2409
463,0.55,0.55
465,0.46941099999999997,0.50552
