,Unnamed: 0,Unnamed: 0.1,Unique Investment Identifier,Business Case ID,Agency Code,Agency Name,Investment Title,Project ID,Agency Project ID,Project Name,Project Description,Start Date,Completion Date (B1),Planned Project Completion Date (B2),Projected/Actual Project Completion Date (B2),Planned Cost ($ M),Projected/Actual Cost ($ M),Updated Date,Updated Time
0,0,0,005-000001723,212.0,5.0,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),656.0,,Operations,Annual Agency Operations.,01/10/2011,2012-30-09,,,15.297,15.297,22/09/2011,10:22:25
1,1,1,005-000001723,212.0,5.0,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),657.0,,Virtualization,Program Areas will migrate their data over to the agencys virtual servers and shut down their current server.,01/10/2011,31/03/2012,31/03/2012,31/03/2012,0.179,0.179,30/11/2011,06:09:57
2,2,2,005-000001723,212.0,5.0,Department of Agriculture,AMS Infrastructure WAN and DMZ (AMSWAN),658.0,,Refresh,Programs Areas will replace 1/3 of their computers which have an expired warranty.,01/04/2012,30/09/2012,,,1.46,1.46,28/10/2011,05:50:19
3,3,3,005-000001822,213.0,5.0,Department of Agriculture,APHIS Electronic Permits System (ePermits),661.0,,ePermits O&M FY11 Part 1.,"Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.",01/04/2011,30/09/2011,30/09/2011,30/09/2011,1.8205,1.4564,31/05/2012,14:20:11
4,4,4,005-000001822,213.0,5.0,Department of Agriculture,APHIS Electronic Permits System (ePermits),662.0,,ePermits O&M FY12 Part 1,"Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.",01/04/2012,30/09/2012,30/09/2012,30/09/2012,1.713,1.713,31/05/2012,14:20:11
5,5,5,005-000001822,213.0,5.0,Department of Agriculture,APHIS Electronic Permits System (ePermits),663.0,,ePermits O&M FY12 Part 2,"Production Support including Analysis, Software Fixes, System Software Upgrades, Help Desk.",01/10/2012,31/03/2013,,,1.45,1.45,31/05/2012,14:20:11
6,6,6,005-000001822,213.0,5.0,Department of Agriculture,APHIS Electronic Permits System (ePermits),664.0,,BRS Field Reports Phase 2,UAT Bug Fixes.,31/12/2010,31/03/2011,31/03/2011,31/03/2011,0.01,0.01,22/09/2011,10:34:24
7,7,7,005-000000038,214.0,5.0,Department of Agriculture,APHIS Enterprise Infrastructure,665.0,,Enterprise Management,Management of APHIS Enterprise IT Systems.,01/10/2010,30/09/2011,30/09/2011,20/09/2011,46.96,46.96,22/09/2011,10:34:32
8,8,8,005-000000038,214.0,5.0,Department of Agriculture,APHIS Enterprise Infrastructure,666.0,,VoIP Riverdale,"Installation of voice over IP phones in Riverdale, MD headquarters facility.",15/08/2011,30/04/2012,30/04/2012,30/04/2012,0.662,0.662,31/05/2012,14:20:13
9,9,9,005-000000038,214.0,6.0,Department of Agriculture,APHIS Enterprise Infrastructure,667.0,,Enterprise Security,Maintain Enterprise Security integrity.,06/09/2011,31/12/2012,,,0.5720000000000001,0.5720000000000001,01/08/2012,13:21:08
10,10,10,005-000000038,214.0,5.0,Department of Agriculture,APHIS Enterprise Infrastructure,668.0,,Telecom,Maintain Enterprise telecom service integrity.,06/09/2011,21/12/2012,02/03/2012,02/03/2012,2.41,0.3856,31/05/2012,14:20:14
11,11,11,005-000000038,214.0,5.0,Department of Agriculture,APHIS Enterprise Infrastructure,669.0,,Enterprise Software license optimization,Maintain and update all Enterprise software licenses.,03/10/2011,07/09/2012,07/09/2012,07/09/2012,10.058,10.058,31/05/2012,14:20:14
12,12,12,005-000000038,214.0,5.0,Department of Agriculture,APHIS Enterprise Infrastructure,670.0,,Hardware Maintenance,Maintain Enterprise hardware service support and operational integrity.,01/11/2011,31/05/2012,31/05/2012,31/05/2012,4.268,4.268,30/06/2012,14:56:34
13,13,13,005-000000038,214.0,5.0,Department of Agriculture,APHIS Enterprise Infrastructure,671.0,,Enterprise Life Cycle Management,Engage life cycle management of Enterprise systems. Target is optimal performance of Enterprise.,01/03/2012,24/08/2012,24/08/2012,24/08/2012,2.23,2.23,01/08/2012,13:21:08
14,14,14,005-000000093,215.0,5.0,Department of Agriculture,ATSA - Automated Timber Sale Accounting,1768.0,,Provision O&M Services,Provides the services required to meet the objectives of the investment.,01/10/2011,30/09/2012,,,1.75,1.35,31/10/2011,10:26:32
15,15,15,005-000001231,219.0,5.0,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1092.0,,Program Loan Accounting System (PLAS),"PLAS is a legacy mainframe system of record for the Farm Loan Programs designed in the late 1970s.  This system is quickly reaching the end of its useful life. The Direct Loan System (DLS) is the new project that is being designed to replace PLAS functionality by streamlining and modernizing the direct loan process. During the development of DLS, PLAS is in a Steady State maintenance only mode unless large unexpected modifications such as Stimulus or disaster relief require quick solutions.",01/10/2002,28/09/2018,28/09/2012,28/09/2012,1.0,0.8909999999999999,30/04/2012,11:14:58
16,16,16,005-000001231,219.0,5.0,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1093.0,,Electronic Debt and Loan Restructure System (eDALR$),"eDALR$ is an Intranet web-based program developed to assist authorized agency officials in determining and evaluating the effect of primary loan servicing. The eDALR$ system completes calculations based on information regarding the borrower's cash flow and loan status. This information is used to restructure the borrower's debt and maximize their repayment ability, while minimizing loss to the Government. This system replaced the Legacy DALR$ system in Feb 2008 and is currently in Steady State.",01/10/2002,28/09/2018,28/09/2012,28/09/2012,0.35,0.35,30/04/2012,11:14:58
17,17,17,005-000001231,219.0,5.0,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1094.0,,Direct Loan System (DLS),"Farm Loan Programs (FLP) provides direct loans to farmers and ranchers who cannot obtain financing through conventional lending institutions. The DLS project is intended to streamline and modernize current FLP inefficient, duplicative, and paper-based loan making and loan servicing processes and support the USDAs Strategic Plan by deploying solutions that are customer focused, collaborative and results oriented.  This is the only portion of the CFLPIDS project that is currently undergoing DME.",01/10/2002,28/09/2018,,,11.677999999999999,11.591,01/08/2012,13:21:41
18,18,18,005-000001231,219.0,5.0,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1095.0,,Farm Loan Program Risk Assessment (FLPRA),"The FLPRA system pulls data from other FLP applications and generates various management reports used to identify high risk lending States. Once a service center is reviewed and scored, the data is entered at the State level and the system tracks the scores assigned to Service Centers. This system replaced the Legacy National Internal Review (NIR) system in February 2006 and is currently in Steady State.",01/10/2002,28/09/2018,28/09/2012,28/09/2012,0.1,0.096,30/04/2012,11:14:58
19,19,19,005-000001231,219.0,5.0,Department of Agriculture,Consolidated Farm Loan Program Information &amp; Delivery Systems #103,1096.0,,Farm Business Plan (FBP),The FBP system is a Web based system that evaluates an individual Borrowers situation and identifies ways that the FLP can provide assistance. This system replaced functionality from the Legacy System 36 Management of Agriculrural Credit (MAC) system in May 2007 and is currently in Steady State.,01/10/2002,28/09/2018,28/09/2012,28/09/2012,0.44,0.44,30/04/2012,11:14:58
20,20,20,005-000001232,220.0,5.0,Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,1648.0,,Ongoing maintenance of 26 financial systems within AFAO.,Contractor and FTE maintenance and production support for 26 financial applications within AFAO.,01/07/2011,30/09/2012,30/09/2012,30/09/2012,5.9002,5.6813,01/08/2012,13:21:48
21,21,21,005-000001232,220.0,5.0,Department of Agriculture,Consolidated Financial Management Information Systems (CFMIS) #106,1649.0,,Maintenance support for FMMI Readiness.,Maintenance activities to prepare AFAO financial systems for alignment with FMMI.,01/07/2011,30/09/2012,30/09/2012,30/09/2012,2.3053,2.1889,01/08/2012,13:21:48
22,22,22,005-000001234,221.0,5.0,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1650.0,,APLUS Operations and Maintenance,Contractor and FTE maintenance and production support for the APLUS program.,01/07/2011,30/09/2012,30/09/2012,30/09/2012,0.379,0.24,31/05/2012,14:20:42
23,23,23,005-000001234,221.0,5.0,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1651.0,,GSM Operations and Maintenance,Contract and FTE maintenance and production support for the current GSM PowerBuilder and web applications and the GSM datamart.,01/10/2004,30/09/2012,30/09/2012,30/09/2012,1.109,1.113,31/05/2012,14:20:42
24,24,24,005-000001234,221.0,5.0,Department of Agriculture,Consolidated General Sales Manager (CGSM) #107,1652.0,,GSM Migration,Migration of the GSM functionality on the PowerBuilder platform to a JAVA based web application using USDA and FSA architectural standards.,01/07/2011,30/09/2012,,,1.4509999999999998,1.21,01/08/2012,13:21:51
