Project ID,Start,Completion,Planned Completion,Projected/Actual Completion
2,2009-01-01,2014-04-30,2012-09-29,2012-09-29
3,2009-01-10,2017-09-30,2012-10-21,2012-10-21
4,2009-01-10,2017-09-30,2012-09-30,2012-09-30
5,2010-01-10,2011-09-30,2011-09-30,2012-04-30
6,2011-01-10,2012-09-30,2012-09-30,2012-09-30
7,2012-01-10,2013-09-30,,
8,2011-01-11,2012-01-11,,
9,2012-01-11,2013-01-11,,
10,2006-01-10,2017-05-01,,
11,2006-01-10,2017-05-01,,
12,2006-01-10,2017-05-01,,
13,2006-01-10,2017-05-01,,
14,2010-01-10,2012-02-09,2012-02-09,2012-02-09
15,2011-04-03,2011-12-30,2011-12-30,2011-12-30
16,2011-04-03,2012-02-24,2012-02-24,2012-02-24
17,2011-09-23,2012-09-22,2012-09-22,2012-09-22
18,2002-01-07,2014-02-28,,
19,2008-01-05,2020-09-30,,
20,2011-01-07,2011-09-30,2011-09-30,2011-09-30
21,2011-01-07,2012-02-27,2012-02-27,2012-02-27
22,2011-01-10,2012-09-30,2012-09-30,2012-09-30
23,2011-01-04,2011-10-16,2011-10-14,2011-10-13
24,2011-01-04,2012-07-20,2012-07-20,2012-06-18
25,2011-01-07,2012-07-27,2012-07-27,2012-07-24
26,2012-02-04,2013-11-30,,
27,2012-01-10,2013-09-30,,
28,2011-01-07,2011-09-30,2011-09-30,2011-09-30
29,2011-01-07,2014-03-31,,
30,2011-01-10,2012-09-30,2012-09-30,2012-09-30
31,2011-01-10,2012-12-31,2012-12-31,2012-12-31
32,2008-01-10,2012-06-30,2011-12-31,2012-06-30
33,2008-01-10,2012-02-29,2011-11-30,2011-12-13
34,2012-01-10,2016-09-30,,
35,2008-01-10,2016-09-30,,
36,2008-01-10,2021-09-30,,
37,2010-04-28,2028-09-30,,
38,2010-04-28,2028-09-30,2012-09-30,2012-04-27
39,2010-04-28,2028-09-30,2012-12-30,2012-12-30
40,2010-04-28,2028-09-30,2012-03-31,2012-10-08
41,2010-04-28,2028-09-30,2012-03-31,2011-03-10
42,2010-04-28,2028-09-30,2012-02-29,2012-05-31
43,2011-07-31,2013-07-30,2012-10-31,2012-10-31
44,2011-07-24,2012-07-28,2012-07-28,2012-07-28
47,2011-08-14,2012-06-23,2012-06-23,2012-06-23
50,2011-06-16,2012-05-31,2012-04-29,2012-03-30
51,2011-05-23,2012-07-31,2012-04-29,2012-03-30
52,2010-01-10,2011-09-30,2011-09-30,2012-01-01
53,2011-01-10,2012-09-30,,
54,2012-01-10,2013-09-30,,
55,2008-07-25,2013-09-30,,
56,2010-01-22,2015-09-30,,
57,2009-09-30,2013-09-30,,
60,2011-01-07,2011-11-21,2011-11-21,2011-09-12
61,2011-11-16,2012-07-13,,
62,2012-02-07,2013-01-14,,
63,2011-06-14,2011-10-24,2011-10-24,2011-10-24
64,2011-10-16,2012-03-14,2012-03-14,2012-04-27
65,2011-01-09,2011-12-12,2011-12-12,2011-12-12
66,2011-11-16,2012-04-20,2012-04-20,2012-05-29
69,2012-06-04,2012-09-17,2012-09-17,2012-08-15
70,2011-06-06,2011-11-14,2011-11-14,2011-11-14
71,2010-01-06,2011-08-31,2011-08-31,2011-08-19
72,2011-01-07,2012-10-08,2012-10-08,2012-10-08
73,2012-01-08,2013-11-30,,
74,2009-01-04,2012-02-29,2012-02-24,2012-03-30
75,2009-01-05,2011-12-30,2011-12-30,2011-09-30
76,2012-03-04,2012-09-29,,
77,2010-06-14,2013-12-08,,
79,2011-01-10,2012-09-30,2012-09-30,2012-09-30
80,2011-09-23,2011-09-30,2011-09-30,2011-09-30
81,2011-03-10,2011-12-30,2011-12-30,2011-12-30
82,2012-03-01,2012-02-29,2012-02-29,2012-02-29
83,2012-03-01,2012-06-29,2012-06-29,2012-06-29
84,2012-03-01,2012-06-29,2012-06-29,2012-06-29
85,2012-02-07,2012-09-28,2012-09-28,2012-09-28
86,2012-02-04,2012-09-28,2012-09-28,2012-09-28
87,2012-02-07,2012-09-28,2012-09-28,2012-09-28
88,2012-02-07,2012-09-28,2012-09-28,2012-09-28
89,2012-01-10,2012-12-31,,
90,2012-01-10,2012-12-31,,
91,2009-05-10,2013-09-30,,
92,2011-02-06,2011-03-10,2011-03-10,2011-09-13
93,2011-03-10,2012-09-28,2012-09-28,2012-09-28
94,2011-06-17,2011-04-10,2011-04-10,2011-07-12
95,2011-08-07,2011-08-25,2011-08-25,2011-07-12
96,2011-06-17,2011-09-28,2011-09-28,2011-12-30
97,2011-06-17,2011-09-30,2011-09-30,2011-12-30
98,2011-03-10,2012-09-28,2012-09-28,2012-09-28
99,2011-03-10,2012-09-28,2012-09-28,2012-09-28
100,2011-03-10,2012-09-28,2011-12-30,2011-12-30
101,2011-09-25,2012-12-16,,
103,2011-01-19,2011-10-21,2011-10-21,2011-12-15
105,2011-01-21,2011-03-10,2011-03-10,2011-10-21
106,2011-07-25,2011-09-30,2011-09-30,2011-11-11
109,2011-01-07,2011-12-30,2011-12-30,2012-05-06
110,2011-01-07,2011-12-30,2011-12-30,2011-06-10
111,2011-09-22,2011-12-31,2011-12-31,2012-01-13
112,2011-01-10,2012-09-28,2012-09-28,2012-09-28
113,2010-06-15,2011-10-28,2010-09-29,2011-11-25
114,2010-09-04,2011-11-23,2010-09-30,2011-04-10
115,2011-09-30,2012-09-30,2012-09-30,2012-09-24
116,2012-01-17,2013-11-07,,
117,2012-09-07,2012-09-28,2012-09-28,2012-09-28
118,2010-01-10,2011-09-30,2011-09-30,2012-10-16
119,2010-11-15,2011-11-30,,
120,2010-11-29,2011-12-30,,
121,2011-03-01,2012-05-03,2011-07-12,2012-03-26
122,2011-06-06,2012-01-23,2012-01-23,2012-09-30
123,2011-06-30,2011-09-30,2011-09-30,2012-09-28
124,2011-03-10,2012-02-04,2012-02-04,2012-12-31
125,2011-03-10,2012-02-04,2012-02-04,2012-12-31
126,2011-02-11,2012-10-16,,
127,2011-07-07,2012-03-01,2012-03-01,2012-03-01
128,2012-05-07,2013-03-01,2013-03-01,2013-03-01
129,2011-01-06,2011-10-31,2011-10-31,2011-10-31
130,2012-01-06,2012-10-31,,
131,2011-01-10,2012-05-31,,
132,2011-01-10,2012-09-30,,
133,2012-01-04,2012-06-30,,
134,2012-01-07,2012-09-30,,
135,2011-01-07,2011-09-30,2011-09-30,2011-09-30
137,2011-01-10,2012-09-30,2012-09-30,2012-09-30
138,2005-08-17,2013-02-10,,
139,2011-03-14,2016-09-30,,
140,1996-01-10,2021-09-30,2012-01-14,2012-01-16
141,2008-09-24,2013-02-28,,
142,2008-09-24,2014-09-30,2012-09-30,2012-09-30
143,2011-08-02,2012-03-31,2012-03-31,2012-01-27
144,2011-04-16,2012-01-07,2012-01-07,2012-01-08
145,2009-01-09,2012-06-15,2012-06-15,2012-07-05
146,2010-04-15,2012-04-30,2012-04-30,2012-04-30
147,2011-01-07,2013-05-31,,
148,2011-01-07,2012-09-30,2012-08-31,2012-08-31
149,2011-01-07,2012-09-30,2012-09-30,2012-09-30
150,2011-01-07,2012-09-30,2012-09-30,2012-09-30
151,2011-02-17,2012-06-27,2012-06-27,2012-06-27
152,2010-02-12,2011-08-25,2011-08-25,2011-08-25
153,2011-01-07,2017-01-10,,
154,2010-01-02,2013-07-19,2013-07-19,2013-07-19
155,2011-08-31,2017-09-30,,
156,2011-04-14,2017-09-30,,
159,2004-01-02,2019-09-30,,
160,2004-01-02,2019-09-30,,
161,2010-01-04,2019-09-30,,
162,2010-01-04,2019-09-30,2012-09-28,2012-09-28
163,2010-01-04,2019-09-30,,
164,2010-01-04,2019-09-30,,
165,2009-01-10,2019-09-30,,
166,2006-01-07,2019-09-30,,
167,2005-09-28,2019-09-30,,
168,2010-01-01,2019-09-30,,
169,2011-01-10,2016-09-30,,
170,2011-01-10,2016-09-30,2012-12-31,2012-12-31
171,2011-01-10,2016-09-30,2012-12-31,2012-12-31
172,2011-01-10,2016-09-30,2012-09-30,2012-09-30
173,2011-01-10,2014-09-30,2012-11-30,2012-11-30
174,2011-01-10,2017-09-30,2012-01-06,2012-09-30
175,2011-01-10,2017-09-30,2012-09-30,2012-09-30
176,2005-03-10,2017-09-29,,
177,2011-03-10,2012-03-31,2012-03-31,2012-03-31
178,2012-07-03,2012-05-30,2012-05-30,2012-03-06
179,2010-01-10,2011-09-30,2011-09-30,2011-10-14
180,2012-02-04,2012-09-29,2012-09-29,2012-09-29
181,2011-10-18,2011-11-30,2011-11-30,2011-03-12
182,2012-01-17,2012-02-29,2012-02-29,2012-03-03
183,2012-04-17,2012-05-31,2012-05-31,2012-02-06
184,2012-07-17,2012-08-31,,
185,2012-01-03,2012-03-31,2012-03-31,2012-04-27
186,2012-01-04,2012-04-30,2012-04-30,2012-04-30
187,2011-04-10,2012-06-03,2012-06-03,2012-04-15
188,2008-01-10,2012-09-30,2012-07-31,2012-11-30
189,2010-09-29,2012-06-10,2012-03-10,2013-04-30
190,2010-04-11,2012-10-17,2012-07-31,2012-10-23
191,2011-09-30,2013-09-30,2011-09-30,2013-03-29
192,2010-10-21,2011-10-23,2011-10-23,2011-10-30
193,2011-05-12,2012-07-22,2012-07-18,2012-07-20
194,2012-06-08,2013-02-28,,
195,2010-01-10,2012-09-30,2011-12-30,2012-03-16
196,2011-01-11,2012-06-30,,
197,2011-10-30,2011-12-18,2011-12-18,2011-12-18
198,2011-11-21,2012-01-29,2012-01-15,2012-01-29
199,2012-01-01,2012-02-25,2012-02-25,2012-02-25
200,2010-01-10,2011-12-31,2011-11-30,2012-04-30
201,2011-10-06,2012-12-31,2012-12-31,2012-12-31
202,2011-03-10,2014-03-31,,
203,2011-03-10,2014-03-31,,
204,2012-01-10,2013-12-31,,
226,2001-01-10,2015-09-30,2012-09-28,2012-09-28
227,2010-01-10,2016-09-30,,
228,2012-01-06,2012-09-30,2012-09-30,2012-09-30
229,2008-01-10,2011-09-30,2011-09-30,2011-09-30
230,2008-01-10,2011-09-30,2011-09-30,2011-09-30
231,2011-01-10,2012-09-30,,
232,2011-01-10,2012-09-30,,
233,2010-09-30,2011-12-15,2011-12-15,2011-12-16
234,2010-01-10,2011-09-30,2011-09-30,2011-09-30
235,2010-01-03,2015-09-30,,
236,2010-03-15,2012-09-30,2012-09-28,2012-09-30
237,2010-01-10,2012-09-28,,
238,2011-01-05,2012-09-30,2012-09-28,2013-09-30
239,2011-01-09,2013-09-30,,
240,2012-01-03,2014-01-04,2012-01-05,2012-08-31
241,2011-09-30,2012-12-31,2012-08-30,2012-11-15
242,2009-01-06,2012-01-04,2012-03-15,2012-05-31
243,2012-09-30,2013-09-30,,
244,2012-09-30,2013-01-08,,
245,2011-01-07,2012-09-30,2011-12-25,2012-09-30
246,2011-01-07,2012-09-30,2012-01-05,2013-01-13
247,2011-01-07,2012-07-25,2012-07-24,2012-07-24
248,2011-01-03,2012-07-31,2012-07-31,2012-07-31
250,2011-01-31,2012-03-17,2012-01-31,2012-07-21
251,2011-10-18,2012-10-31,,
252,2010-01-07,2011-10-31,2011-10-31,2011-08-19
253,2011-03-01,2012-01-06,2012-01-06,2012-09-05
254,2011-07-11,2012-12-03,2012-12-03,2012-03-17
268,2004-01-10,2016-09-30,,
269,2011-09-17,2012-09-16,2012-09-16,2012-09-16
270,2011-09-17,2012-09-16,2012-09-16,2012-09-16
271,2011-09-17,2012-09-16,,
272,2010-01-10,2012-07-29,,
282,2011-03-10,2011-09-12,2011-09-12,2011-12-14
283,2011-12-12,2012-02-17,2012-02-17,2012-02-17
284,2012-02-20,2012-04-27,2012-04-27,2012-03-05
285,2012-04-30,2012-06-07,,
286,2012-06-09,2012-03-12,,
287,2011-01-10,2012-06-30,,
288,2011-01-10,2012-09-30,2012-09-30,2012-09-30
289,2011-01-10,2012-09-30,2012-09-30,2012-09-30
290,2011-01-09,2013-01-05,2013-01-04,2013-01-04
291,2011-03-15,2011-12-30,2011-12-30,2011-01-12
292,2011-02-02,2011-09-30,2011-08-30,2011-08-30
293,2004-01-12,2014-01-10,2012-08-30,2012-08-30
294,2010-07-15,2012-07-15,2012-07-14,2012-07-14
295,2011-07-22,2012-09-30,,
296,2010-07-06,2012-06-06,2012-06-06,2012-06-06
297,2011-10-24,2013-07-31,,
298,2011-09-30,2016-08-14,,
299,2010-01-10,2012-09-30,2012-09-29,2012-09-29
300,2010-01-10,2011-09-29,2011-09-29,2011-09-29
301,2010-12-29,2012-12-31,,
302,2010-09-29,2012-08-31,,
303,2011-01-06,2012-06-30,,
304,2010-01-11,2012-08-31,,
305,2010-01-06,2011-07-15,2011-07-15,2011-07-15
306,2012-08-06,2014-07-06,,
307,2011-01-10,2012-09-30,2012-09-30,2012-09-30
308,2011-01-10,2012-09-30,2012-09-30,2012-09-30
309,2011-01-10,2012-09-30,2012-09-30,2012-09-30
310,2011-01-10,2012-09-30,2012-09-30,2012-09-30
311,2010-01-10,2012-09-30,2012-08-20,2012-08-20
312,2010-01-10,2012-03-30,2012-03-30,2012-03-30
313,2010-01-10,2011-09-30,2011-09-30,2011-09-30
314,2011-01-01,2011-09-30,2011-09-30,2011-09-30
315,2011-01-03,2011-09-30,2011-09-30,2011-09-30
