Investment ID,Business Case ID,Investment Title
005-000001723,212,AMS Infrastructure WAN and DMZ (AMSWAN)
005-000001822,213,APHIS Electronic Permits System (ePermits)
005-000000038,214,APHIS Enterprise Infrastructure
005-000000093,215,ATSA - Automated Timber Sale Accounting
005-000001231,219,Consolidated Farm Loan Program Information &amp; Delivery Systems #103
005-000001232,220,Consolidated Financial Management Information Systems (CFMIS) #106
005-000001234,221,Consolidated General Sales Manager (CGSM) #107
005-000000065,224,Enterprise Shared Services
005-000001870,225,Farm Program Modernization (MIDAS) #097
005-000001729,226,"FAS Infrastructure, Office Automation, and Telecommunications (IOAT)"
005-000001425,227,Financial Management Modernization Initiative (FMMI)
005-000001718,228,FNCS IT Infrastructure
005-000001496,229,FPA-P2 - Fire Program Analysis System - Phase 2
005-000000083,230,Public Health Data Communications Infrastructure System (PHDCIS)
005-000002148,231,FSIS Public Health Information Consolidation Projects (PHICP)
005-999991841,234,Human Resources Line of Business:  Service Center
005-000002328,235,IBS - Incident Business System
005-000000039,236,Integrated Acquisition System (IAS) (OPPM)
005-000000047,237,Integrated Program Accounting System (IPAS)
005-000002152,238,NASS Survey Processing System
005-000001659,239,Animal Disease Traceability Information System (ADTIS)
005-000002223,242,NRM - Natural Resource Manager
005-000002321,243,Optimized Computing Environment (OCE)
005-000000064,246,RMA-01  Financial Management Systems (FMS)
005-000000067,247,RMA-02  Corporate Insurance Information Systems (CIIS)
005-000001430,248,"RMA-04  Infrastructure Modernization, Support and Training (IMST)"
005-000000063,249,RMA-13  Emerging Information Technology Architecture (EITA)
005-000000028,250,ROSS - Resource Ordering and Status System
005-000000027,251,Store Tracking and Redemption System (STARS)
005-000002224,252,USDA Identity &amp; Access Management
005-000000018,253,Web-Based Supply Chain Management (WBSCM)
005-000001742,254,"FSA Architecture, SDLC and Common IT Solutions  #0109"
005-000000054,271,Geographic Information System  (GIS) #84
005-000002276,369,Enterprise Human Capital Management (EHCM)
005-000000073,393,AgPRS - USDA Public Safety Land Mobile Radio System
005-000000098,394,Forest Service Computer Base
005-000002317,832,Comprehensive Loan Program
005-000002340,841,Enterprise Information Management (EIM) #119
005-000002376,1099,Conservation Delivery Streamline Initiative (CDSI)
006-000525200,629,BEA Estimation Information Technology System (BEA-EITS)
006-000400100,648,Census - American Community Survey (ACS)
006-000400900,678,Census - Geographic Support Systems (GSS)
006-000401000,680,Census - Local Employment Dynamics IT Support (LED)
006-000003213,694,NOAA/NESDIS/ Environmental Satellite Processing Center (ESPC)
006-000321500,695,NOAA/NESDIS/ GOES-R Series Ground Segment
006-000321100,696,NOAA/NESDIS/ NPP Data Exploitation (NDE)
006-000321200,697,NOAA/NESDIS/ Joint Polar Satellite System (JPSS) Ground System (formerly NPOESS Ground System)
006-000321600,698,NOAA/NESDIS/ National Climatic Data Center (NCDC)
006-000003202,699,NOAA/NESDIS/ POES Ground System (POES-GS)
006-000310100,701,NOAA/NWS/ Advanced Weather Interactive Processing System (AWIPS)
006-000311000,702,NOAA/NWS/ Data Assimilation and Modeling
006-000310400,703,NOAA/NWS/ NCEP Weather and Climate Operational Supercomputer Systems (WCOSS Primary and Backup)
006-000311200,706,NOAA/NWS/ National Air Quality Forecast Capability
006-000312500,707,NOAA/NWS/ Next Generation Air Transportation System (NextGen)
006-000310200,708,NOAA/NWS/ Next Generation Weather Radar (NEXRAD-PI) System Product Improvement
006-000312400,709,NOAA/NWS/ Weather Radio Improvement Project (WRIP-2)
006-000380400,711,NOAA/OCIO/ NOAA R&amp;D High Performance Computing System
006-000400700,715,Census - Economic Census and Surveys
006-000400800,716,Census - Field Support Systems
006-000401100,717,Census - MAF/TIGER Enhancements
006-000051000,721,Commerce Business Systems (CBS)
006-000400300,724,Census - Data Access and Dissemination System (DADS)
006-000051100,725,Consolidated HCHB IT Infrastructure (CHII)
006-000050200,726,Commerce Business Environment (CBE)
006-000320100,727,NOAA/NESDIS/ GOES Ground System
006-000320500,770,NOAA/NESDIS/ Comprehensive Large Array-data Stewardship System (CLASS)
006-000310600,776,"NOAA/NWS/ National Weather Service Telecommunication Gateway (NWSTG) System (Legacy, Replacement, and Critical Infrastructure Protection)"
006-000310300,777,NOAA/NWS/ Next Generation Weather Radar (NEXRAD) Operations and Maintenance (O&amp;M)
006-000731200,782,NTIA - Radio Spectrum Management - Federal Spectrum Management System (FSMS)
006-000351100,925,NOAA/NOAA/ IT Infrastructure
006-999994060,926,OS OHRM Human Resource Management System (HRMS)
